,0,1
259,2.5349252,6.4267287
260,-1.5732185,7.1193166
261,-5.1099887,-4.5357676
262,-6.3589964,-3.327202
263,-4.482688,5.424185
264,0.9078503,-6.830422
265,6.4438386,2.7048833
266,-3.2426727,6.55672
267,7.2137547,-1.8157008
268,3.2403977,5.16258
269,-6.4906816,-1.2153661
270,6.9489317,-0.5635198
271,6.5257874,-3.1635668
272,-6.395222,3.5989604
273,-0.62517375,-7.219029
274,-4.0260215,5.798576
275,6.998651,-1.1632224
276,4.9376035,-5.3616266
277,6.4744525,-3.8429604
278,-2.286234,7.0084386
279,-1.3543909,-7.3628845
280,0.19411127,-7.048722
281,3.9500809,4.8937635
282,6.808347,1.2794981
283,5.8494186,-4.6863837
284,7.0965633,-0.29378524
285,-6.0563526,1.5652248
286,-1.7344886,-7.0264535
287,-4.924078,5.328353
288,6.506044,-3.761934
289,-4.284241,5.7225013
290,-6.035343,4.09622
291,3.0424817,5.817123
292,-1.8369205,6.8616633
293,-6.0536013,3.9199502
294,-2.546173,-6.231983
295,1.0959599,6.5695662
296,-6.114387,4.062452
297,6.6822925,-3.6160338
298,1.2303277,6.4947305
299,-6.3649545,2.3348024
300,7.0454383,0.6249257
301,1.8543906,6.5820966
302,1.3016028,-6.948553
303,6.230759,2.764168
304,4.61273,4.306038
305,5.3039103,-5.152886
306,-2.5218704,6.9635625
307,-4.6174736,4.9109025
308,3.936553,4.7185593
309,-5.3356366,4.3555727
310,-6.383934,3.5316553
311,-0.8833227,7.074227
312,7.2364182,-0.0011340077
313,-6.634502,-0.41646388
314,-2.4353416,6.9868813
315,-1.8088207,-6.868891
316,-2.8326979,-6.407479
317,-5.838109,-3.904636
318,6.99093,0.6270766
319,4.7593575,-5.7505455
320,0.5092718,6.900625
321,6.5607653,0.6664043
322,5.381218,-4.9141774
323,1.4917803,-6.9155326
324,2.3260198,-6.071177
325,-2.683323,6.9101124
326,5.3175774,-5.2343087
327,7.215881,-2.5128925
328,-1.0725299,-6.819731
329,5.865202,3.0059528
330,-4.742166,5.0289254
331,-6.4420924,-0.51511526
332,-4.136997,5.9450445
333,5.9536915,-4.2102695
334,6.0985894,2.569661
335,-3.1447048,6.794249
336,3.8719866,-5.79014
337,-6.3932743,2.1284337
338,6.648668,-3.3192365
339,1.5135698,-6.995514
340,2.47475,-6.4617414
341,-5.9776735,-3.4272301
342,0.6054997,6.9961557
343,-0.72508407,-7.1821227
344,-4.122985,5.818763
345,-0.48437566,-7.07023
346,-6.246119,-2.8791504
347,3.423696,5.0958323
348,-5.3009386,-4.3138065
349,-5.0777307,-4.24987
350,5.719138,1.2983418
351,5.372817,-5.0422435
352,6.971291,-2.8411071
353,-6.563805,-2.3419108
354,-6.141782,2.7660034
355,3.7133994,4.9889317
356,-5.672705,4.131152
357,3.2230966,-6.077331
358,5.491111,2.2964125
359,-4.735033,5.116837
360,2.895198,5.8819757
361,-2.7017052,6.810698
362,6.6208973,1.7569098
363,4.7936597,3.8389595
364,-6.7122784,-1.95035
365,0.94828904,-7.0816865
366,6.269455,-4.117748
367,5.775881,2.911118
368,0.6982759,6.4280567
369,-1.9526513,-6.8726015
370,-2.9880662,-5.8549094
371,2.2257318,6.392645
372,-3.555465,-6.0025806
373,-6.6528006,-2.122049
374,-6.335114,1.5361491
375,-1.6679819,-6.970138
376,-6.154773,3.2449405
377,-4.297548,-5.408324
378,-6.39221,-1.2731998
379,-4.7854095,-4.4159737
380,0.8865853,6.9053802
381,4.396256,-5.652936
382,-4.7146273,-4.7335076
383,1.9772785,6.558349
384,-6.0389676,-2.9274626
385,-5.3061275,4.1383452
386,2.310968,5.219762
387,-4.9923115,-4.6755886
388,-4.676221,4.892132
389,6.5430274,-3.5771227
390,-3.435663,-5.7835145
391,5.577041,-4.9601154
392,-6.326983,2.867191
393,-1.6926991,7.043769
394,2.9534192,5.8134823
395,-6.298304,2.3054957
396,6.420569,1.8875108
397,-5.2016044,5.0174413
398,6.6015754,0.95749027
399,-4.1266904,-5.422293
400,3.2399685,-5.9910436
401,6.8616,0.94267625
402,-6.105952,-2.9469218
403,6.722727,-3.4280386
404,-6.376811,-0.87708473
405,-5.3585553,4.843444
406,-6.0526824,2.4031222
407,-6.0703287,4.163944
408,-1.5258434,-6.4507914
409,6.98482,0.21029612
410,6.424106,1.3569801
411,7.0373516,-1.6630044
412,4.1782093,-5.9643426
413,6.3349414,1.896355
414,-4.0975943,-5.71263
415,6.0670877,3.2205431
416,0.1250255,-7.1601853
417,-6.658743,-2.2864964
418,-6.236319,-3.2251115
419,4.4291477,-5.5427837
420,4.1489835,4.5910034
421,-3.6072671,6.018546
422,-1.4583998,7.050353
423,-6.437461,2.4123561
424,0.83517885,-7.103655
425,5.1430655,-5.274854
426,7.038615,0.013059976
427,3.6825457,4.9880304
428,-6.7751565,-0.98713166
429,5.6774487,2.436297
430,5.0726438,3.554027
431,1.3942516,-6.665758
432,-6.2661695,0.33359498
433,-1.9140803,7.024262
434,-4.9112473,4.936951
435,6.811974,-3.4673605
436,-6.792253,-1.6399776
437,-3.6388993,-5.263502
438,6.097473,2.6629686
439,-6.2683067,1.1930898
440,7.157059,-0.5795846
441,2.18108,-6.478221
442,6.885021,0.5521909
443,-5.802809,0.6377193
444,-6.4062824,3.0214853
445,-6.729464,-1.8571037
446,-6.5370154,-0.84689564
447,-6.5323615,-2.0898654
448,-1.6105722,-7.1124806
449,4.27155,3.774108
450,-6.4850717,3.2605946
451,-6.0323386,-3.6306314
452,5.1106596,-5.3672266
